Vessel Name,Window Start,Window End,Survey Type
AHBRA FRANCO,12/15/18,06/13/19,ALLI
AHBRA FRANCO,12/16/19,06/13/20,ALLI
AHBRA FRANCO,12/15/20,06/13/21,ALLI
AHBRA FRANCO,12/15/21,06/13/22,ALLI
AHBRA FRANCO,04/16/18,10/13/18,LL-REN
AHBRA FRANCO,12/15/22,06/13/23,LL-REN
AJ,08/01/19,01/28/20,ALLI
AJ,08/01/20,01/28/21,ALLI
AJ,08/01/21,01/28/22,ALLI
AJ,08/01/22,01/28/23,ALLI
AJ,08/01/18,01/28/19,LL-REN
AJ,08/01/23,01/28/24,LL-REN
ALYSSA ANN,11/14/17,05/13/18,ALLI
ALYSSA ANN,11/14/18,05/13/19,LL-REN
ANN T. CHERAMIE,03/26/19,09/22/19,ALLI
ANN T. CHERAMIE,03/26/20,09/22/20,ALLI
ANN T. CHERAMIE,03/26/21,09/22/21,ALLI
ANN T. CHERAMIE,03/26/22,09/22/22,ALLI
ANN T. CHERAMIE,03/26/18,09/22/18,LL-REN
ANN T. CHERAMIE,03/26/23,09/22/23,LL-REN
BILL GOBEL,11/23/17,05/22/18,ALLI
BILL GOBEL,11/23/18,05/22/19,ALLI
BILL GOBEL,11/23/19,05/21/20,ALLI
BILL GOBEL,11/23/20,05/22/21,ALLI
BILL GOBEL,11/23/21,05/22/22,LL-REN
BOB FRANCO,03/02/19,08/29/19,ALLI
BOB FRANCO,03/02/20,08/29/20,ALLI
BOB FRANCO,03/02/21,08/29/21,ALLI
BOB FRANCO,03/02/22,08/29/22,ALLI
BOB FRANCO,03/02/18,08/29/18,LL-REN
BOB FRANCO,03/02/23,08/29/23,LL-REN
BRIAN S,11/01/17,04/30/18,ALLI
BRIAN S,11/01/18,04/30/19,LL-REN
C E,03/13/18,09/09/18,ALLI
C E,03/13/19,09/09/19,ALLI
C E,03/13/20,09/09/20,LL-REN
C.F. CAMPBELL,04/30/18,10/27/18,ALLI
C.F. CAMPBELL,04/30/19,10/27/19,ALLI
C.F. CAMPBELL,04/30/20,10/27/20,LL-REN
DALE R LINDSEY,03/19/18,09/15/18,ALLI
DALE R LINDSEY,03/19/19,09/15/19,ALLI
DALE R LINDSEY,03/19/20,09/15/20,ALLI
DALE R LINDSEY,03/19/21,09/15/21,LL-REN
EAGLE,07/04/18,12/31/18,ALLI
